,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum
250,Nusa Tenggara Barat,2018,67.3,3.13,14.63,24705.97,18020.5,123868.02,90349.13,3.58,1825000.0
251,Nusa Tenggara Barat,2019,68.14,2.72,14.56,25716.11,18219.11,132500.1,93872.44,3.28,2012610.0
252,Nusa Tenggara Barat,2020,68.25,1.68,13.97,25183.56,17583.11,133613.74,93288.87,4.22,2183883.0
253,Nusa Tenggara Timur,2010,67.26,6.96,23.03,9316.79,9316.79,43846.61,43846.61,3.34,800000.0
254,Nusa Tenggara Timur,2011,67.75,3.79,21.23,10194.01,9675.89,48815.24,46334.13,3.11,850000.0
255,Nusa Tenggara Timur,2012,60.81,4.3,20.88,11268.85,10030.98,54893.15,48863.19,3.04,925000.0
256,Nusa Tenggara Timur,2013,61.68,8.38,20.24,12379.02,10396.76,61325.26,51505.19,3.25,1010000.0
257,Nusa Tenggara Timur,2014,62.26,8.36,19.6,13599.73,10742.32,68500.43,54107.97,3.26,1150000.0
258,Nusa Tenggara Timur,2015,62.67,3.35,22.58,14867.16,11087.91,76120.79,56770.79,3.83,1250000.0
259,Nusa Tenggara Timur,2016,63.13,3.02,22.01,16093.51,11468.79,83742.79,59678.01,3.25,1425000.0
260,Nusa Tenggara Timur,2017,63.73,3.61,21.38,17165.45,11863.41,90758.93,62725.41,3.27,1525000.0
261,Nusa Tenggara Timur,2018,64.39,3.13,21.03,18417.54,12273.85,98930.19,65929.19,2.85,1660000.0
262,Nusa Tenggara Timur,2019,65.23,2.72,21.09,19630.02,12761.98,106731.76,69389.02,3.14,1795000.0
263,Nusa Tenggara Timur,2020,65.19,1.68,20.9,20056.99,12960.95,106482.45,68809.61,4.28,1950000.0
264,Papua,2010,64.94,6.96,36.8,38785.11,38785.11,110808.18,110808.18,3.55,1316500.0
265,Papua,2011,65.36,3.79,31.98,37111.15,36383.24,108188.76,106066.72,5.02,1403000.0
266,Papua,2012,55.55,4.3,31.11,37935.01,36280.03,112812.56,107890.94,3.71,1585000.0
267,Papua,2013,56.25,8.38,31.53,40513.65,38621.36,122857.17,117118.82,3.15,1710000.0
268,Papua,2014,56.75,8.36,27.8,43134.25,39271.88,133329.98,121391.23,3.44,2040000.0
269,Papua,2015,57.25,3.35,28.4,47726.07,41376.97,150307.28,130311.6,3.99,2193000.0
270,Papua,2016,58.05,3.02,28.4,54002.15,44342.14,173208.86,142224.93,3.35,2435000.0
271,Papua,2017,59.09,3.61,27.76,57864.13,45577.05,188938.08,148818.29,3.62,2663647.0
272,Papua,2018,60.06,3.13,27.43,63385.68,48069.41,210600.57,159711.85,3.0,3000000.0
273,Papua,2019,60.84,2.72,27.53,56618.95,40203.42,189510.7,134565.89,3.51,3240900.0
274,Papua,2020,60.44,1.68,26.64,46416.36,32108.51,199186.57,137787.29,4.28,3516700.0
275,Papua Barat,2010,69.15,6.96,34.88,54049.32,54049.32,41361.67,41361.67,7.68,1210000.0
276,Papua Barat,2011,69.65,3.79,31.92,56305.11,54539.86,44254.64,42867.19,6.73,1410000.0
277,Papua Barat,2012,60.3,4.3,28.2,58762.56,55047.84,47421.09,44423.34,5.42,1450000.0
278,Papua Barat,2013,60.91,8.38,27.14,63984.19,57581.36,52997.66,47694.23,4.4,1720000.0
279,Papua Barat,2014,61.28,8.36,26.26,68463.58,59142.59,58180.96,50259.91,5.02,1870000.0
280,Papua Barat,2015,61.73,3.35,25.73,72159.85,60064.13,62888.03,52346.49,8.08,2015000.0
281,Papua Barat,2016,62.21,3.02,24.88,74584.63,61242.01,66631.08,54711.28,7.46,2237000.0
282,Papua Barat,2017,62.99,3.61,23.12,78423.63,62169.96,71785.93,56907.96,6.49,2421500.0
283,Papua Barat,2018,63.74,3.13,22.66,84958.03,64499.45,79644.58,60465.52,6.45,2667000.0
284,Papua Barat,2019,64.7,2.72,22.17,87542.37,64418.52,84356.97,62074.52,6.43,2934500.0
285,Papua Barat,2020,65.09,1.68,21.37,73932.6,54487.7,83588.64,61604.13,6.8,3134600.0
286,Riau,2010,76.07,6.96,8.65,69701.03,69701.03,388578.23,388578.23,8.72,1016000.0
287,Riau,2011,76.53,3.79,8.47,84811.19,71637.89,485649.34,410215.84,6.09,1120000.0
288,Riau,2012,69.15,4.3,8.22,94996.15,72396.34,558492.72,425626.0,4.37,1238000.0
289,Riau,2013,69.91,8.38,8.42,100691.44,72297.05,607498.45,436187.51,5.48,1400000.0
290,Riau,2014,70.33,8.36,7.99,109784.64,72390.88,679395.86,447986.78,6.56,1700000.0
291,Riau,2015,70.84,3.35,8.82,102887.81,70769.78,652761.63,448991.96,7.83,1878000.0
292,Riau,2016,71.2,3.02,7.67,104861.11,70569.36,681699.03,458769.34,7.43,2095000.0
293,Riau,2017,71.79,3.61,7.41,105844.77,70740.43,704705.03,470983.51,6.22,2266723.0
294,Riau,2018,72.44,3.13,7.21,110384.9,70736.77,752263.07,482064.63,5.98,2464154.0
295,Riau,2019,73.0,2.72,7.08,111227.01,72509.14,760247.51,495607.05,5.76,2662026.0
296,Riau,2020,72.71,1.68,6.82,114166.9,76884.74,727599.47,489995.75,6.32,2888564.0
297,Sulawesi Barat,2010,69.64,6.96,13.58,14755.47,14755.47,17183.83,17183.83,3.25,944200.0
298,Sulawesi Barat,2011,70.11,3.79,13.89,17001.85,16023.45,20189.34,19027.5,3.35,1006000.0
299,Sulawesi Barat,2012,61.01,4.3,13.24,18688.25,17169.06,22626.21,20786.89,2.16,1127000.0
300,Sulawesi Barat,2013,61.53,8.38,12.23,20457.33,18008.81,25249.49,22227.39,2.35,1165000.0
301,Sulawesi Barat,2014,62.24,8.36,12.05,23415.05,19232.05,29458.25,24195.65,2.08,1400000.0
302,Sulawesi Barat,2015,62.96,3.35,11.9,25728.07,20250.51,32987.55,25964.43,3.35,1655500.0
303,Sulawesi Barat,2016,63.6,3.02,11.19,27513.06,21067.91,35945.2,27524.77,3.33,1864000.0
304,Sulawesi Barat,2017,64.3,3.61,11.18,29675.86,22001.01,39497.41,29282.49,3.21,2017780.0
305,Sulawesi Barat,2018,65.1,3.13,11.22,32059.09,22953.08,43457.83,31114.14,3.01,2193530.0
306,Sulawesi Barat,2019,65.73,2.72,11.02,34111.83,24163.56,46365.79,32843.81,2.98,2381000.0
307,Sulawesi Barat,2020,66.11,1.68,10.87,32836.75,22666.22,46465.91,32074.02,3.32,2678863.0
308,Sulawesi Selatan,2010,71.62,6.96,11.6,21306.72,21306.72,171740.74,171740.74,8.37,1000000.0
309,Sulawesi Selatan,2011,72.14,3.79,10.29,24311.67,22769.19,198289.08,185708.47,8.13,1100000.0
310,Sulawesi Selatan,2012,67.26,4.3,10.11,27670.91,24507.17,228285.47,202184.59,6.01,1200000.0
311,Sulawesi Selatan,2013,67.92,8.38,10.32,31027.93,26083.42,258836.42,217589.13,5.1,1440000.0
312,Sulawesi Selatan,2014,68.49,8.36,9.54,35344.88,27749.47,298033.8,233988.05,5.08,1800000.0
313,Sulawesi Selatan,2015,69.15,3.35,10.12,39950.48,29435.92,340390.21,250802.99,5.95,2000000.0
314,Sulawesi Selatan,2016,69.76,3.02,9.24,43817.39,31302.53,377108.91,269401.31,4.8,2250000.0
315,Sulawesi Selatan,2017,70.34,3.61,9.48,47822.11,33234.11,415588.2,288814.17,5.61,2435625.0
316,Sulawesi Selatan,2018,70.9,3.13,8.87,52642.08,35243.64,461774.74,309156.19,4.94,2647767.0
317,Sulawesi Selatan,2019,71.66,2.72,8.69,57182.14,37474.29,504320.73,330506.38,4.62,2860382.0
318,Sulawesi Selatan,2020,71.93,1.68,8.72,55675.03,36246.26,504052.53,328154.57,6.31,3103800.0
319,Sulawesi Tengah,2010,71.14,6.96,18.07,19558.53,19558.53,51752.07,51752.07,4.61,777500.0
320,Sulawesi Tengah,2011,71.62,3.79,15.83,22547.48,21105.7,60716.29,56833.83,6.78,827500.0
321,Sulawesi Tengah,2012,65.0,4.3,15.4,25421.64,22724.47,69637.92,62249.53,3.95,885000.0
322,Sulawesi Tengah,2013,65.79,8.38,14.32,28663.64,24490.98,79842.22,68219.32,4.19,995000.0
323,Sulawesi Tengah,2014,66.43,8.36,13.61,31874.69,25316.27,90246.27,71677.53,3.68,1250000.0
324,Sulawesi Tengah,2015,66.76,3.35,14.07,37394.89,28778.64,107573.47,82787.2,4.1,1500000.0
325,Sulawesi Tengah,2016,67.47,3.02,14.09,41082.04,31151.08,120030.01,91014.56,3.29,1670000.0
326,Sulawesi Tengah,2017,68.11,3.61,14.22,45157.28,32860.48,133951.16,97474.86,3.81,1807775.0
327,Sulawesi Tengah,2018,68.88,3.13,13.69,55518.66,39049.35,167135.77,117555.83,3.37,1965232.0
328,Sulawesi Tengah,2019,69.5,2.72,13.48,61056.03,42054.5,185740.09,127935.06,3.11,2123040.0
329,Sulawesi Tengah,2020,69.55,1.68,12.92,66306.27,45052.32,197440.78,134152.69,3.77,2303711.0
330,Sulawesi Tenggara,2010,70.0,6.96,17.05,21573.11,21573.11,48401.15,48401.15,4.61,860000.0
331,Sulawesi Tenggara,2011,70.55,3.79,14.56,24302.1,23338.07,55758.55,53546.69,4.69,930000.0
332,Sulawesi Tenggara,2012,67.07,4.3,13.71,27582.58,25489.79,64693.98,59785.4,4.14,1032300.0
333,Sulawesi Tenggara,2013,67.55,8.38,13.73,29641.12,26815.36,71041.25,64268.71,4.38,1125207.0
334,Sulawesi Tenggara,2014,68.07,8.36,12.77,32115.83,27896.05,78622.15,68291.78,4.43,1400000.0
335,Sulawesi Tenggara,2015,68.75,3.35,13.74,35092.25,29202.7,87714.48,72993.33,5.55,1652000.0
336,Sulawesi Tenggara,2016,69.31,3.02,12.77,38022.13,30476.39,96994.76,77745.51,2.72,1850000.0
337,Sulawesi Tenggara,2017,69.86,3.61,11.97,41278.78,31894.42,107423.45,83001.69,3.3,2002625.0
338,Sulawesi Tenggara,2018,70.61,3.13,11.32,44492.09,33278.66,118066.61,88310.05,3.19,2177052.0
339,Sulawesi Tenggara,2019,71.2,2.72,11.24,48514.15,35309.9,129225.15,94053.52,3.52,2351870.0
340,Sulawesi Tenggara,2020,71.45,1.68,11.0,49718.15,35708.6,130107.27,93445.72,4.58,2552015.0
341,Sulawesi Utara,2010,76.09,6.96,9.1,22707.79,22707.79,51721.33,51721.33,9.61,1000000.0
342,Sulawesi Utara,2011,76.54,3.79,8.51,24867.95,23812.97,57343.6,54910.9,10.1,1050000.0
343,Sulawesi Utara,2012,69.04,4.3,8.18,27373.41,25145.96,63875.31,58677.59,7.98,1250000.0
344,Sulawesi Utara,2013,69.49,8.38,8.5,30121.09,26445.86,71097.46,62422.5,6.79,1550000.0
345,Sulawesi Utara,2014,69.96,8.36,8.26,33800.17,27805.52,80667.63,66360.76,7.54,1900000.0
346,Sulawesi Utara,2015,70.39,3.35,8.98,37786.58,29196.47,91145.68,70425.33,9.03,2150000.0
347,Sulawesi Utara,2016,71.05,3.02,8.2,41246.25,30679.97,100513.84,74764.66,6.18,2400000.0
348,Sulawesi Utara,2017,71.66,3.61,7.9,44744.2,32297.08,110116.73,79484.03,7.18,2598000.0
349,Sulawesi Utara,2018,72.2,3.13,7.59,48105.41,33911.61,119512.68,84249.72,6.61,2824286.0
350,Sulawesi Utara,2019,72.99,2.72,7.66,52173.02,35687.44,130126.51,89009.26,6.01,3051076.0
351,Sulawesi Utara,2020,72.93,1.68,7.62,50521.13,33670.44,132230.06,88126.37,7.37,3310723.0
352,Sumatera Barat,2010,73.78,6.96,9.5,21584.91,21584.91,105017.74,105017.74,6.95,940000.0
353,Sumatera Barat,2011,74.28,3.79,9.04,24056.68,22638.75,118674.29,111679.49,8.02,1055000.0
354,Sumatera Barat,2012,68.36,4.3,8.19,26286.16,23744.01,131435.65,118724.42,6.65,1150000.0
355,Sumatera Barat,2013,68.91,8.38,7.56,28994.48,24857.64,146899.83,125940.63,7.02,1350000.0
356,Sumatera Barat,2014,69.36,8.36,6.89,32141.09,25982.83,164944.26,133340.84,6.5,1490000.0
357,Sumatera Barat,2015,69.98,3.35,6.71,34630.86,27080.76,179951.98,140719.47,6.89,1615000.0
358,Sumatera Barat,2016,70.73,3.02,7.14,37284.56,28164.93,196099.18,148134.24,5.09,1800725.0
359,Sumatera Barat,2017,71.24,3.61,6.75,40194.29,29312.17,213893.47,155984.36,5.58,1949285.0
360,Sumatera Barat,2018,71.73,3.13,6.55,42802.66,30470.8,230367.22,163996.19,5.66,2119067.0
361,Sumatera Barat,2019,72.39,2.72,6.42,44885.51,31427.29,245949.74,172205.57,5.38,2289220.0
362,Sumatera Barat,2020,72.38,1.68,6.28,43825.66,30696.21,241894.13,169426.61,6.88,2484041.0
363,Sumatera Selatan,2010,72.95,6.96,15.47,25932.0,25932.0,194012.97,194012.97,6.65,927825.0
364,Sumatera Selatan,2011,73.42,3.79,14.24,29830.37,27157.98,226666.93,206360.7,6.6,1048440.0
365,Sumatera Selatan,2012,65.79,4.3,13.78,32830.49,28577.89,253265.12,220459.2,5.66,1195220.0
366,Sumatera Selatan,2013,66.16,8.38,14.06,35810.16,29656.76,280348.46,232175.05,4.84,1630000.0
367,Sumatera Selatan,2014,66.75,8.36,13.62,38584.88,30636.27,306421.6,243297.77,4.96,1825000.0
368,Sumatera Selatan,2015,67.46,3.35,13.77,41201.28,31549.3,331765.7,254044.88,6.07,1974346.0
369,Sumatera Selatan,2016,68.24,3.02,13.39,43361.26,32699.5,353866.96,266857.4,4.31,2206000.0
370,Sumatera Selatan,2017,68.86,3.61,13.1,46315.05,34059.71,382885.7,281571.01,4.39,2388000.0
371,Sumatera Selatan,2018,69.39,3.13,12.82,50104.67,35659.82,419392.16,298484.07,4.27,2595995.0
372,Sumatera Selatan,2019,70.02,2.72,12.71,53359.1,37125.75,453402.71,315464.75,4.53,2804453.0
373,Sumatera Selatan,2020,70.01,1.68,12.66,53842.74,37323.24,454607.4,315129.22,5.51,3043111.0
374,Sumatera Utara,2010,74.19,6.96,11.31,25412.07,25412.07,331085.24,331085.24,7.43,965000.0
375,Sumatera Utara,2011,74.65,3.79,11.33,28518.19,26711.24,377037.1,353147.59,8.18,1035500.0
376,Sumatera Utara,2012,67.74,4.3,10.67,31109.35,28036.88,417120.44,375924.14,6.28,1200000.0
377,Sumatera Utara,2013,68.36,8.38,10.39,34544.18,29339.21,469464.02,398727.14,6.45,1375000.0
378,Sumatera Utara,2014,68.87,8.36,9.85,37913.9,30477.07,521954.95,419573.31,6.23,1505850.0
379,Sumatera Utara,2015,69.51,3.35,10.79,41019.54,31637.41,571722.01,440955.85,6.71,1625000.0
380,Sumatera Utara,2016,70.0,3.02,10.27,44392.46,32885.09,626062.91,463775.46,5.84,1811875.0
381,Sumatera Utara,2017,70.57,3.61,9.28,48003.6,34183.58,684634.43,487531.23,5.6,1961355.0
382,Sumatera Utara,2018,71.18,3.13,8.94,51427.49,35570.5,741347.43,512762.63,5.55,2132189.0
383,Sumatera Utara,2019,71.74,2.72,8.83,54620.4,36853.59,799608.95,539513.85,5.39,2303403.0
384,Sumatera Utara,2020,71.77,1.68,8.75,54979.04,36175.16,811188.31,533746.36,6.91,2499423.0
