,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum
40,Bengkulu,2017,69.95,3.61,15.59,31359.48,21751.64,60657.68,42073.52,3.74,1737413.0
41,Bengkulu,2018,70.64,3.13,15.41,33822.13,22494.84,66402.99,44164.11,3.35,1888741.0
42,Bengkulu,2019,71.21,2.72,15.23,36565.29,23504.53,72098.24,46345.45,3.26,2040407.0
43,Bengkulu,2020,71.4,1.68,15.03,36552.5,23105.92,73305.27,46338.43,4.07,2213604.0
44,DI Yogyakarta,2010,75.77,6.96,16.83,18652.97,18652.97,64678.97,64678.97,5.69,745694.0
45,DI Yogyakarta,2011,76.32,3.79,16.08,20333.34,19387.45,71369.96,68049.87,4.39,808000.0
46,DI Yogyakarta,2012,76.15,4.3,16.05,21744.88,20183.88,77247.86,71702.45,3.9,892660.0
47,DI Yogyakarta,2013,76.44,8.38,15.03,23623.92,21037.7,84924.54,75627.45,3.24,947114.0
48,DI Yogyakarta,2014,76.81,8.36,14.55,25526.4,21867.9,92842.48,79536.08,3.33,988500.0
49,DI Yogyakarta,2015,77.59,3.35,13.16,27571.53,22688.36,101440.52,83474.45,4.07,988500.0
50,DI Yogyakarta,2016,78.38,3.02,13.1,29552.53,23565.68,109962.35,87685.81,2.72,
51,DI Yogyakarta,2017,78.89,3.61,12.36,31664.92,24533.8,119128.72,92300.24,3.02,1337645.0
52,DI Yogyakarta,2018,79.53,3.13,11.81,34136.93,25776.31,129818.36,98024.01,3.37,1454154.0
53,DI Yogyakarta,2019,79.99,2.72,11.7,36459.73,27008.68,141047.69,104485.46,3.18,1570923.0
54,DI Yogyakarta,2020,79.97,1.68,12.28,37693.64,27754.47,138117.84,101698.52,4.57,1704608.0
55,DKI Jakarta,2010,77.6,6.96,3.48,111528.86,111528.86,1075183.48,1075183.48,11.05,1118009.0
56,DKI Jakarta,2011,77.97,3.79,3.75,125533.82,117672.92,1224218.48,1147558.23,11.69,1290000.0
57,DKI Jakarta,2012,77.53,4.3,3.69,138858.29,123962.38,1369432.64,1222527.92,9.67,1529150.0
58,DKI Jakarta,2013,78.08,8.38,3.72,155153.92,130060.31,1546876.49,1296694.57,8.63,2200000.0
59,DKI Jakarta,2014,78.39,8.36,4.09,174914.36,136312.34,1762316.4,1373389.13,8.47,2441000.0
60,DKI Jakarta,2015,78.99,3.35,3.61,195431.68,142913.61,1989088.75,1454563.85,7.23,2700000.0
61,DKI Jakarta,2016,79.6,3.02,3.75,210075.09,149831.9,2159073.6,1539916.88,6.12,3100000.0
62,DKI Jakarta,2017,80.06,3.61,3.78,228002.73,157636.6,2365353.85,1635359.15,7.14,3355750.0
63,DKI Jakarta,2018,80.47,3.13,3.55,247678.49,165768.99,2592606.57,1735208.29,6.65,3648036.0
64,DKI Jakarta,2019,80.76,2.72,3.47,268052.25,174812.51,2815636.16,1836240.55,6.54,3940973.0
65,DKI Jakarta,2020,80.77,1.68,4.53,262615.17,170089.02,2767273.49,1792291.09,10.95,4276350.0
66,Gorontalo,2010,70.28,6.96,23.19,14811.95,14811.95,15475.74,15475.74,5.16,710000.0
67,Gorontalo,2011,70.82,3.79,18.75,16381.67,15687.65,17406.53,16669.09,6.74,762500.0
68,Gorontalo,2012,64.16,4.3,17.33,18207.86,16650.27,19669.72,17987.07,4.47,837500.0
69,Gorontalo,2013,64.7,8.38,18.01,20154.35,17639.12,22129.28,19367.57,4.15,1175000.0
70,Gorontalo,2014,65.17,8.36,17.41,22582.5,18622.44,25193.78,20775.8,4.18,1325000.0
71,Gorontalo,2015,65.86,3.35,18.16,25143.39,19474.13,28493.42,22068.8,4.65,1600000.0
72,Gorontalo,2016,66.29,3.02,17.63,27544.77,20427.46,31697.56,23507.21,2.76,1875000.0
73,Gorontalo,2017,67.01,3.61,17.14,29565.12,21477.78,34537.68,25090.13,4.28,2030000.0
74,Gorontalo,2018,67.71,3.13,15.83,31827.62,22538.55,37731.39,26719.27,3.7,2206813.0
75,Gorontalo,2019,68.49,2.72,15.52,34976.65,24167.56,41145.45,28429.97,3.76,2384020.0
76,Gorontalo,2020,68.68,1.68,15.22,35693.26,24313.38,41729.89,28425.38,4.28,2788826.0
77,Indonesia,2010,72.27,6.96,13.33,28778.17,28778.17,6864133.13,6864133.13,7.14,908824.0
78,Indonesia,2011,72.77,3.79,12.49,32336.26,30112.37,7825075.53,7286914.79,7.48,988829.0
79,Indonesia,2012,67.7,4.3,11.96,35338.48,31519.93,8672954.41,7735785.46,6.13,1088903.0
80,Indonesia,2013,68.31,8.38,11.47,38632.67,32874.76,9612506.5,8179836.08,6.17,1296908.0
81,Indonesia,2014,68.9,8.36,10.96,42432.08,34127.72,10699877.63,8605809.67,5.94,1584391.0
