,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
126,Jawa Timur,2015,68.95,3.35,12.28,43541.4,34271.81,1691477.06,1331376.1,4.47,1000000.0,5.440123799729868,9.982747591997022,4.7958942482721145,9.310746854090656,62.66031765605258,132.15165123496234,50.491219554739864,114.78368365369667
127,Jawa Timur,2016,69.74,3.02,11.85,47491.52,35970.78,1855738.4,1405563.51,4.21,,5.572235373610801,9.711118399678442,4.957339574419906,9.072101494210095,62.66031765605258,132.15165123496234,50.491219554739864,114.78368365369667
128,Jawa Timur,2017,70.27,3.61,11.2,51228.45,37724.29,2012917.99,1482299.58,4.0,1388000.0,5.459452344490656,8.469921730347352,4.8748178382564955,7.868625809407659,62.66031765605258,132.15165123496234,50.491219554739864,114.78368365369667
129,Jawa Timur,2018,70.77,3.13,10.85,55410.61,39579.95,2188766.35,1563441.82,3.91,1508895.0,5.474078323627407,8.735992269610549,4.919005765250972,8.16374495031571,62.66031765605258,132.15165123496234,50.491219554739864,114.78368365369667
130,Jawa Timur,2019,71.5,2.72,10.37,59015.17,41512.2,2345548.55,1649895.64,3.82,1630059.0,5.529711364635226,7.163039581634645,4.881890957416579,6.505180145102174,62.66031765605258,132.15165123496234,50.491219554739864,114.78368365369667
131,Jawa Timur,2020,71.71,1.68,11.09,56640.82,39686.19,2299807.64,1611392.55,5.84,1768777.0,-2.3336682070388304,-1.9501156776311368,-4.398730975472254,-4.023287571653189,62.66031765605258,132.15165123496234,50.491219554739864,114.78368365369667
132,Kalimantan Barat,2010,69.15,6.96,9.02,19510.07,19510.07,86065.85,86065.85,4.62,741000.0,,,,,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
133,Kalimantan Barat,2011,69.66,3.79,8.6,21548.09,20227.16,96727.13,90797.59,4.6,802500.0,5.497813592731604,12.387352242498029,3.6754865564295747,10.445990198907552,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
134,Kalimantan Barat,2012,63.41,4.3,8.17,23427.05,21062.22,106958.8,96161.93,3.54,900000.0,5.908020245911816,10.57786993163139,4.12840952461937,8.719844775105345,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
135,Kalimantan Barat,2013,64.3,8.38,8.74,25561.5,21971.93,118640.96,101980.34,3.99,1060000.0,6.050637710786377,10.922112065580404,4.319155340700065,9.111048979705094,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
