Provinsi,2010 GRDP,2011 GRDP,2012 GRDP,2013 GRDP,2014 GRDP,2015 GRDP,2016 GRDP,2017 GRDP,2018 GRDP,2019 GRDP,2020 GRDP,2010 IPM,2011 IPM,2012 IPM,2013 IPM,2014 IPM,2015 IPM,2016 IPM,2017 IPM,2018 IPM,2019 IPM,2020 IPM,2010 Pengangguran,2011 Pengangguran,2012 Pengangguran,2013 Pengangguran,2014 Pengangguran,2015 Pengangguran,2016 Pengangguran,2017 Pengangguran,2018 Pengangguran,2019 Pengangguran,2020 Pengangguran,2010 Inflasi,2011 Inflasi,2012 Inflasi,2013 Inflasi,2014 Inflasi,2015 Inflasi,2016 Inflasi,2017 Inflasi,2018 Inflasi,2019 Inflasi,2020 Inflasi,2010 Kemiskinan,2011 Kemiskinan,2012 Kemiskinan,2013 Kemiskinan,2014 Kemiskinan,2015 Kemiskinan,2016 Kemiskinan,2017 Kemiskinan,2018 Kemiskinan,2019 Kemiskinan,2020 Kemiskinan,Investasi
Kalimantan Timur,116946.31,121196.23,124501.88,133868.68,133086.11,128603.13,125385.5,126625.19,127354.19,134410.55,125764.53,"75,56","76,22",72.62,73.21,73.82,74.17,74.59,75.12,75.83,76.61,"76,24",10.1,11.43,9.02,7.95,7.38,7.5,7.95,6.91,6.41,5.94,6.87,,,,,,,,,,,,"7,66","6,77","6,68","6,38",6.31,6.10,6.00,6.08,6.06,5.94,6.1,
Kalimantan Utara,-,-,-,74106.93,77152.6,76823.46,76635.46,78918.57,80204.84,88299.52,86823.59,-,-,...,67.99,68.64,68.76,69.2,69.84,70.56,71.15,"70,63",-,-,-,-,-,5.68,5.23,5.54,5.11,4.49,4.97,,,,,,,,,,,,,,,,…,6.32,6.99,6.96,6.86,6.63,6.8,
Sulawesi Utara,22707.79,23812.97,25145.96,26445.86,27805.52,29196.47,30679.97,32297.08,33911.61,35687.44,33670.44,"76,09","76,54",69.04,69.49,69.96,70.39,71.05,71.66,72.2,72.99,"72,93",9.61,10.1,7.98,6.79,7.54,9.03,6.18,7.18,6.61,6.01,7.37,,,,,,,,,,,,"9,10","8,51","8,18","8,50",8.26,8.98,8.20,7.9,7.59,7.66,7.62,
Sulawesi Tengah,19558.53,21105.7,22724.47,24490.98,25316.27,28778.64,31151.08,32860.48,39049.35,42054.5,45052.32,"71,14","71,62",65,65.79,66.43,66.76,67.47,68.11,68.88,69.5,"69,55",4.61,6.78,3.95,4.19,3.68,4.1,3.29,3.81,3.37,3.11,3.77,,,,,,,,,,,,"18,07","15,83","15,40","14,32",13.61,14.07,14.09,14.22,13.69,13.48,12.92,
Sulawesi Selatan,21306.72,22769.19,24507.17,26083.42,27749.47,29435.92,31302.53,33234.11,35243.64,37474.29,36246.26,"71,62","72,14",67.26,67.92,68.49,69.15,69.76,70.34,70.9,71.66,"71,93",8.37,8.13,6.01,5.1,5.08,5.95,4.8,5.61,4.94,4.62,6.31,,,,,,,,,,,,"11,60","10,29","10,11","10,32",9.54,10.12,9.24,9.48,8.87,8.69,8.72,
Sulawesi Tenggara,21573.11,23338.07,25489.79,26815.36,27896.05,29202.7,30476.39,31894.42,33278.66,35309.9,35708.6,"70,00","70,55",67.07,67.55,68.07,68.75,69.31,69.86,70.61,71.2,"71,45",4.61,4.69,4.14,4.38,4.43,5.55,2.72,3.3,3.19,3.52,4.58,,,,,,,,,,,,"17,05","14,56","13,71","13,73",12.77,13.74,12.77,11.97,11.32,11.24,11,
Gorontalo,14811.95,15687.65,16650.27,17639.12,18622.44,19474.13,20427.46,21477.78,22538.55,24167.56,24313.38,"70,28","70,82",64.16,64.7,65.17,65.86,66.29,67.01,67.71,68.49,"68,68",5.16,6.74,4.47,4.15,4.18,4.65,2.76,4.28,3.7,3.76,4.28,,,,,,,,,,,,"23,19","18,75","17,33","18,01",17.41,18.16,17.63,17.14,15.83,15.52,15.22,
Sulawesi Barat,14755.47,16023.45,17169.06,18008.81,19232.05,20250.51,21067.91,22001.01,22953.08,24163.56,22666.22,"69,64","70,11",61.01,61.53,62.24,62.96,63.6,64.3,65.1,65.73,"66,11",3.25,3.35,2.16,2.35,2.08,3.35,3.33,3.21,3.01,2.98,3.32,,,,,,,,,,,,"13,58","13,89","13,24","12,23",12.05,11.90,11.19,11.18,11.22,11.02,10.87,
Maluku,11951.84,12477.19,13129.11,13572.07,14219.62,14740.38,15321.18,15942.45,16607.02,17556.86,16688.12,"71,42","71,87",65.43,66.09,66.74,67.05,67.6,68.19,68.87,69.45,"69,49",9.97,10.81,7.71,9.91,10.51,9.93,7.05,9.29,6.95,6.69,7.57,,,,,,,,,,,,"27,74","23,00","21,78","19,27",18.44,19.36,19.26,18.29,17.85,17.69,17.44,
Maluku Utara,14361.54,14994.63,15691.01,16332.22,16869.52,17533.78,18177.3,19192.97,20309.45,21524.99,21915.03,"69,03","69,47",63.93,64.78,65.18,65.91,66.63,67.2,67.76,68.7,"68,49",6.03,5.34,4.82,3.8,5.29,6.05,4.01,5.33,4.63,4.81,5.15,,,,,,,,,,,,"9,42","9,18","8,47","7,64",7.41,6.22,6.41,6.44,6.62,6.77,6.78,
Papua Barat,54049.32,54539.86,55047.84,57581.36,59142.59,60064.13,61242.01,62169.96,64499.45,64418.52,54487.7,"69,15","69,65",60.3,60.91,61.28,61.73,62.21,62.99,63.74,64.7,"65,09",7.68,6.73,5.42,4.4,5.02,8.08,7.46,6.49,6.45,6.43,6.8,,,,,,,,,,,,"34,88","31,92","28,20","27,14",26.26,25.73,24.88,23.12,22.66,22.17,21.37,
Papua,38785.11,36383.24,36280.03,38621.36,39271.88,41376.97,44342.14,45577.05,48069.41,40203.42,32108.51,"64,94","65,36",55.55,56.25,56.75,57.25,58.05,59.09,60.06,60.84,"60,44",3.55,5.02,3.71,3.15,3.44,3.99,3.35,3.62,3,3.51,4.28,,,,,,,,,,,,"36,80","31,98","31,11","31,53",27.80,28.40,28.40,27.76,27.43,27.53,26.64,
INDONESIA,28778.17,30112.37,31519.93,32874.76,34127.72,35161.89,36468.62,37851.37,39340.56,41021.61,39778.68,"72,27","72,77",67.7,68.31,68.9,69.55,70.18,70.81,71.39,71.92,"71,94",7.14,7.48,6.13,6.17,5.94,6.18,5.61,5.5,5.3,5.23,7.07,6.96 %,3.79 %,4.3 %,8.38 %,8.36 %,3.35 %,3.02 %,3.61 %,3.13 %,2.72 %,1.68 %,"13,33","12,49","11,96","11,47",10.96,11.13,10.70,10.12,9.66,9.41,9.78,
